"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1246",200167,"G49004900015031",490490015031,"28","4",49
"1247",200168,"G49004900015032",490490015032,"18","2",49
"1248",200169,"G49004900015041",490490015041,"27","4",49
"1249",200170,"G49004900015042",490490015042,"26","3",49
"1250",200171,"G49004900015043",490490015043,"22","3",49
"1251",200172,"G49004900016011",490490016011,"39","6",49
"1252",200173,"G49004900016012",490490016012,"GQ","GQ",49
"1253",200174,"G49004900016021",490490016021,"GQ-PH","GQ-PH",49
"1254",200175,"G49004900016022",490490016022,"GQ-PH","GQ-PH",49
"1255",200176,"G49004900016023",490490016023,"GQ-PH","GQ-PH",49
"1256",200177,"G49004900016024",490490016024,"35","5",49
"1257",200178,"G49004900016031",490490016031,"40","6",49
"1258",200179,"G49004900016032",490490016032,"GQ-PH","GQ-PH",49
"1259",200180,"G49004900017011",490490017011,"17","2",49
"1260",200181,"G49004900017012",490490017012,"35","5",49
"1261",200182,"G49004900017021",490490017021,"24","3",49
"1262",200183,"G49004900017022",490490017022,"11","1",49
"1263",200184,"G49004900017023",490490017023,"38","6",49
"1264",200185,"G49004900018011",490490018011,"37","6",49
"1265",200186,"G49004900018012",490490018012,"39","6",49
"1266",200187,"G49004900018013",490490018013,"37","6",49
"1267",200188,"G49004900018014",490490018014,"39","6",49
"1268",200189,"G49004900018021",490490018021,"51","8",49
"1269",200190,"G49004900018022",490490018022,"54","9",49
"1270",200191,"G49004900018023",490490018023,"53","9",49
"1271",200192,"G49004900018024",490490018024,"48","8",49
"1272",200193,"G49004900018031",490490018031,"46","7",49
"1273",200194,"G49004900018032",490490018032,"46","7",49
"1274",200195,"G49004900019001",490490019001,"GQ","GQ",49
"1275",200196,"G49004900019002",490490019002,"64","10",49
"1276",200197,"G49004900019003",490490019003,"62","10",49
"1277",200198,"G49004900020001",490490020001,"61","9",49
"1278",200199,"G49004900020002",490490020002,"51","8",49
"1279",200200,"G49004900020003",490490020003,"47","8",49
"1280",200201,"G49004900020004",490490020004,"51","8",49
"1281",200202,"G49004900021011",490490021011,"32","5",49
"1282",200203,"G49004900021012",490490021012,"22","3",49
"1283",200204,"G49004900021013",490490021013,"29","4",49
"1284",200205,"G49004900021021",490490021021,"33","5",49
"1285",200206,"G49004900021022",490490021022,"51","8",49
"1286",200207,"G49004900022011",490490022011,"23","3",49
"1287",200208,"G49004900022012",490490022012,"GQ","GQ",49
"1288",200209,"G49004900022013",490490022013,"60","9",49
"1289",200210,"G49004900022041",490490022041,"37","6",49
"1290",200211,"G49004900022042",490490022042,"37","6",49
"1291",200212,"G49004900022051",490490022051,"50","8",49
"1292",200213,"G49004900022052",490490022052,"39","6",49
"1293",200214,"G49004900022061",490490022061,"39","6",49
"1294",200215,"G49004900022062",490490022062,"41","6",49
"1295",200216,"G49004900022071",490490022071,"29","4",49
"1296",200217,"G49004900022072",490490022072,"36","5",49
"1297",200218,"G49004900022073",490490022073,"42","7",49
"1298",200219,"G49004900023001",490490023001,"58","9",49
"1299",200220,"G49004900023002",490490023002,"41","6",49
"1300",200221,"G49004900023003",490490023003,"52","8",49
"1301",200222,"G49004900024001",490490024001,"39","6",49
"1302",200223,"G49004900025001",490490025001,"48","8",49
"1303",200224,"G49004900025002",490490025002,"55","9",49
"1304",200225,"G49004900025003",490490025003,"59","9",49
"1305",200226,"G49004900025004",490490025004,"69","10",49
"1306",200227,"G49004900027011",490490027011,"55","9",49
"1307",200228,"G49004900027012",490490027012,"47","8",49
"1308",200229,"G49004900027013",490490027013,"36","5",49
"1309",200230,"G49004900027014",490490027014,"GQ-PH","GQ-PH",49
"1310",200231,"G49004900027021",490490027021,"35","5",49
"1311",200232,"G49004900027022",490490027022,"39","6",49
"1312",200233,"G49004900028011",490490028011,"74","10",49
"1313",200234,"G49004900028012",490490028012,"56","9",49
"1314",200235,"G49004900028021",490490028021,"82","10",49
"1315",200236,"G49004900028022",490490028022,"44","7",49
"1316",200237,"G49004900029011",490490029011,"31","4",49
"1317",200238,"G49004900029012",490490029012,"44","7",49
"1318",200239,"G49004900029013",490490029013,"37","6",49
"1319",200240,"G49004900029014",490490029014,"33","5",49
"1320",200241,"G49004900029021",490490029021,"51","8",49
"1321",200242,"G49004900029022",490490029022,"65","10",49
"1322",200243,"G49004900029023",490490029023,"47","8",49
"1323",200244,"G49004900030011",490490030011,"48","8",49
"1324",200245,"G49004900030012",490490030012,"33","5",49
"1325",200246,"G49004900030013",490490030013,"31","4",49
"1326",200247,"G49004900030021",490490030021,"43","7",49
"1327",200248,"G49004900030022",490490030022,"36","5",49
"1328",200249,"G49004900031031",490490031031,"32","5",49
"1329",200250,"G49004900031032",490490031032,"33","5",49
"1330",200251,"G49004900031041",490490031041,"23","3",49
"1331",200252,"G49004900031042",490490031042,"14","1",49
"1332",200253,"G49004900031043",490490031043,"14","1",49
"1333",200254,"G49004900031051",490490031051,"42","7",49
"1334",200255,"G49004900031052",490490031052,"45","7",49
"1335",200256,"G49004900031053",490490031053,"55","9",49
"1336",200257,"G49004900031061",490490031061,"43","7",49
"1337",200258,"G49004900031062",490490031062,"55","9",49
"1338",200259,"G49004900032011",490490032011,"45","7",49
"1339",200260,"G49004900032012",490490032012,"54","9",49
"1340",200261,"G49004900032031",490490032031,"37","6",49
"1341",200262,"G49004900032032",490490032032,"22","3",49
"1342",200263,"G49004900032033",490490032033,"21","2",49
"1343",200264,"G49004900032041",490490032041,"56","9",49
"1344",200265,"G49004900032042",490490032042,"45","7",49
"1345",200266,"G49004900032051",490490032051,"31","4",49
"1346",200267,"G49004900032052",490490032052,"44","7",49
"1347",200268,"G49004900032053",490490032053,"38","6",49
"1348",200269,"G49004900033001",490490033001,"42","7",49
"1349",200270,"G49004900033002",490490033002,"54","9",49
"1350",200271,"G49004900033003",490490033003,"31","4",49
"1351",200272,"G49004900033004",490490033004,"40","6",49
"1352",200273,"G49004900034011",490490034011,"51","8",49
"1353",200274,"G49004900034012",490490034012,"51","8",49
"1354",200275,"G49004900034013",490490034013,"44","7",49
"1355",200276,"G49004900034021",490490034021,"52","8",49
"1356",200277,"G49004900034022",490490034022,"36","5",49
"1357",200278,"G49004900034023",490490034023,"32","5",49
"1358",200279,"G49004900034024",490490034024,"36","5",49
"1359",200280,"G49004900034031",490490034031,"47","8",49
"1360",200281,"G49004900034032",490490034032,"40","6",49
"1361",200282,"G49004900034033",490490034033,"42","7",49
"1362",200283,"G49004900034034",490490034034,"42","7",49
"1363",200284,"G49004900101031",490490101031,"34","5",49
"1364",200285,"G49004900101032",490490101032,"43","7",49
"1365",200286,"G49004900101033",490490101033,"39","6",49
"1366",200287,"G49004900101041",490490101041,"31","4",49
"1367",200288,"G49004900101042",490490101042,"40","6",49
"1368",200289,"G49004900101043",490490101043,"30","4",49
"1369",200290,"G49004900101044",490490101044,"28","4",49
"1370",200291,"G49004900101051",490490101051,"30","4",49
"1371",200292,"G49004900101052",490490101052,"27","4",49
"1372",200293,"G49004900101053",490490101053,"23","3",49
"1373",200294,"G49004900101061",490490101061,"18","2",49
"1374",200295,"G49004900101062",490490101062,"26","3",49
"1375",200296,"G49004900101071",490490101071,"33","5",49
"1376",200297,"G49004900101072",490490101072,"15","2",49
"1377",200298,"G49004900101081",490490101081,"24","3",49
"1378",200299,"G49004900101082",490490101082,"31","4",49
"1379",200300,"G49004900101083",490490101083,"33","5",49
"1380",200301,"G49004900101084",490490101084,"24","3",49
"1381",200302,"G49004900101091",490490101091,"25","3",49
"1382",200303,"G49004900101092",490490101092,"24","3",49
"1383",200304,"G49004900101093",490490101093,"37","6",49
"1384",200305,"G49004900101101",490490101101,"15","2",49
"1385",200306,"G49004900101102",490490101102,"18","2",49
"1386",200307,"G49004900101111",490490101111,"22","3",49
"1387",200308,"G49004900101112",490490101112,"31","4",49
"1388",200309,"G49004900101113",490490101113,"22","3",49
"1389",200310,"G49004900101121",490490101121,"21","2",49
"1390",200311,"G49004900101122",490490101122,"21","2",49
"1391",200312,"G49004900101131",490490101131,"23","3",49
"1392",200313,"G49004900101132",490490101132,"18","2",49
"1393",200314,"G49004900102081",490490102081,"5","1",49
"1394",200315,"G49004900102082",490490102082,"13","1",49
"1395",200316,"G49004900102083",490490102083,"12","1",49
"1396",200317,"G49004900102091",490490102091,"15","2",49
"1397",200318,"G49004900102092",490490102092,"6","1",49
"1398",200319,"G49004900102093",490490102093,"11","1",49
"1399",200320,"G49004900102094",490490102094,"8","1",49
"1400",200321,"G49004900102101",490490102101,"17","2",49
"1401",200322,"G49004900102102",490490102102,"18","2",49
